workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,alaska,6083.0,16439.25694558606,20470.0,63.438495359062046,46.0,28575.0,85.0,127.0,20470.0,29547.0,4,550
workloada,baseline,6621.0,15103.458692040478,20411.0,67.4096320611435,46.0,31359.0,90.0,141.0,20411.0,29638.0,4,550
workloada,alaska,5874.0,17024.174327545115,20375.0,61.09830674846626,46.0,34431.0,84.0,125.0,20375.0,29545.0,8,550
workloada,baseline,5938.0,16840.68710003368,20399.0,60.786607186626796,45.0,34975.0,83.0,127.0,20399.0,29611.0,8,550
workloada,alaska,6511.0,15358.62386730149,20422.0,66.24218979531878,45.0,35007.0,90.0,127.0,20422.0,29513.0,16,550
workloada,baseline,6134.0,16302.575806977502,20468.0,60.88030095759234,44.0,3641.0,84.0,134.0,20468.0,29395.0,16,550
workloada,alaska,6964.0,14359.563469270533,20677.0,71.11046089858297,50.0,14471.0,104.0,141.0,20677.0,29465.0,32,550
workloada,baseline,7504.0,13326.226012793177,20613.0,73.76781642652695,49.0,1063.0,100.0,135.0,20613.0,29470.0,32,550
workloada,alaska,6805.0,14695.077149155033,20570.0,68.28099173553719,47.0,13575.0,96.0,130.0,20570.0,29639.0,1,650
workloada,baseline,6776.0,14757.969303423848,20395.0,66.99186075018387,48.0,1043.0,92.0,126.0,20395.0,29493.0,1,650
workloada,alaska,6753.0,14808.233377758033,20333.0,67.2854473024148,50.0,2947.0,95.0,128.0,20333.0,29382.0,2,650
workloada,baseline,5813.0,17202.82126268708,20295.0,59.12815964523281,44.0,37535.0,81.0,125.0,20295.0,29645.0,2,650
workloada,alaska,6164.0,16223.231667748216,20406.0,62.10722336567676,47.0,2305.0,88.0,141.0,20406.0,29332.0,4,650
workloada,baseline,7065.0,14154.281670205237,20718.0,69.60556038227628,46.0,670.0,96.0,137.0,20718.0,29090.0,4,650
workloada,alaska,6212.0,16097.875080489375,20508.0,63.87336649112542,46.0,22879.0,88.0,139.0,20508.0,29575.0,8,650
workloada,baseline,6307.0,15855.398763278896,20197.0,62.765757290686736,45.0,776.0,87.0,127.0,20197.0,29516.0,8,650
workloada,alaska,6223.0,16069.41989394183,20377.0,64.15949354664573,46.0,34239.0,93.0,139.0,20377.0,29522.0,16,650
workloada,baseline,6059.0,16504.37365901964,20439.0,61.66627525808504,44.0,34975.0,86.0,122.0,20439.0,29451.0,16,650
workloada,alaska,6467.0,15463.120457708366,20519.0,64.2855889663239,48.0,2591.0,89.0,127.0,20519.0,29450.0,32,650
workloada,baseline,5955.0,16792.611251049537,20597.0,60.98829926688353,44.0,23359.0,85.0,132.0,20597.0,29537.0,32,650
