workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,alaska,11090.0,9017.132551848512,20462.0,112.48250415404164,51.0,17487.0,137.0,174.0,20462.0,29342.0,4,650
workloada,baseline,9752.0,10254.306808859721,20379.0,98.43343638058786,42.0,21487.0,121.0,156.0,20379.0,29588.0,4,650
workloada,alaska,11855.0,8435.259384226065,20447.0,118.65011982197878,43.0,4995.0,134.0,180.0,20447.0,29721.0,8,650
workloada,baseline,9758.0,10248.001639680262,20521.0,97.90214901807904,45.0,27199.0,124.0,148.0,20521.0,29600.0,8,650
workloada,alaska,11634.0,8595.4959601169,20624.0,116.84595616757176,42.0,6391.0,134.0,176.0,20624.0,29377.0,16,650
workloada,baseline,10618.0,9417.969485778865,20462.0,104.74059231746652,40.0,762.0,127.0,166.0,20462.0,29505.0,16,650
workloada,alaska,10076.0,9924.573243350536,20521.0,102.54451537449442,58.0,34239.0,120.0,168.0,20521.0,29532.0,32,650
workloada,baseline,9341.0,10705.491917353602,20690.0,93.72609956500725,42.0,20911.0,119.0,138.0,20690.0,29311.0,32,650
workloada,alaska,9696.0,10313.531353135313,20459.0,97.09668116721248,51.0,2945.0,119.0,178.0,20459.0,29534.0,1,750
workloada,baseline,11347.0,8812.902088657795,20549.0,113.91001995230911,44.0,16943.0,134.0,172.0,20549.0,29418.0,1,750
workloada,alaska,11571.0,8642.295393656555,20588.0,116.7969205362347,57.0,21983.0,133.0,167.0,20588.0,29516.0,2,750
workloada,baseline,10304.0,9704.968944099379,20803.0,102.02970725376147,39.0,6611.0,126.0,166.0,20803.0,29254.0,2,750
workloada,alaska,11463.0,8723.719794120212,20649.0,115.77800377742264,64.0,3867.0,141.0,174.0,20649.0,29661.0,4,750
workloada,baseline,10256.0,9750.390015600624,20429.0,101.19677908855058,39.0,5131.0,132.0,163.0,20429.0,29477.0,4,750
workloada,alaska,8922.0,11208.249271463797,20369.0,91.39893956502529,46.0,34847.0,119.0,155.0,20369.0,29520.0,8,750
workloada,baseline,8556.0,11687.70453482936,20428.0,83.54498727237126,42.0,625.0,109.0,146.0,20428.0,29385.0,8,750
workloada,alaska,11223.0,8910.273545397844,20395.0,113.11282177004168,47.0,5411.0,136.0,201.0,20395.0,29714.0,16,750
workloada,baseline,9000.0,11111.111111111111,20464.0,89.94869038311181,40.0,33375.0,121.0,149.0,20464.0,29350.0,16,750
workloada,alaska,11734.0,8522.243054371911,20501.0,120.56114335886055,38.0,34271.0,142.0,187.0,20501.0,29361.0,32,750
workloada,baseline,7804.0,12813.941568426448,20510.0,78.48181374939054,39.0,15151.0,114.0,141.0,20510.0,29829.0,32,750
workloada,alaska,7464.0,13397.642015005358,20396.0,77.80270641302216,39.0,22047.0,107.0,132.0,20396.0,29492.0,1,850
workloada,baseline,11267.0,8875.477056891808,20405.0,111.72918402352364,43.0,7675.0,144.0,163.0,20405.0,29651.0,1,850
workloada,alaska,8171.0,12238.40411210378,20465.0,83.05721964329342,40.0,5295.0,113.0,145.0,20465.0,29431.0,2,850
workloada,baseline,8457.0,11824.524062906468,20478.0,84.22389881824397,46.0,20959.0,127.0,157.0,20478.0,29468.0,2,850
workloada,alaska,8050.0,12422.360248447205,20318.0,80.49867112904813,48.0,3663.0,115.0,149.0,20318.0,29783.0,4,850
workloada,baseline,9140.0,10940.919037199124,20472.0,91.23383157483391,43.0,21503.0,112.0,136.0,20472.0,29444.0,4,850
workloada,alaska,8735.0,11448.196908986834,20351.0,88.23129084565869,45.0,16767.0,113.0,135.0,20351.0,29698.0,8,850
workloada,baseline,9508.0,10517.458981909971,20577.0,94.88807892306944,41.0,27327.0,117.0,143.0,20577.0,29654.0,8,850
workloada,alaska,9675.0,10335.917312661499,20402.0,97.67258111949809,48.0,18175.0,120.0,168.0,20402.0,29258.0,16,850
workloada,baseline,10985.0,9103.322712790168,20665.0,108.80474231792887,39.0,2837.0,136.0,163.0,20665.0,29402.0,16,850
workloada,alaska,11447.0,8735.913339739669,20541.0,114.01416678837447,47.0,3587.0,132.0,171.0,20541.0,29320.0,32,850
