workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,alaska,4126.0,24236.54871546292,20484.0,42.05096660808436,33.0,29807.0,51.0,78.0,20484.0,29592.0,16,250
workloada,baseline,4176.0,23946.360153256705,20221.0,42.0441125562534,33.0,22895.0,50.0,100.0,20221.0,29790.0,16,250
workloada,baseline,3718.0,26896.18074233459,20538.0,37.698169247249005,25.0,18895.0,51.0,87.0,20538.0,29727.0,16,250
workloada,alaska,4153.0,24078.979051288225,20399.0,41.008235697828326,33.0,1874.0,51.0,80.0,20399.0,29584.0,32,250
workloada,alaska,4739.0,21101.498206372653,20689.0,47.17163710184156,34.0,14207.0,52.0,90.0,20689.0,29455.0,32,250
workloada,baseline,4030.0,24813.89578163772,20624.0,39.15928044996121,32.0,677.0,50.0,84.0,20624.0,29571.0,32,250
workloada,baseline,4576.0,21853.146853146853,20601.0,45.81729042279501,25.0,22991.0,65.0,90.0,20601.0,29439.0,32,250
workloada,alaska,4256.0,23496.24060150376,20699.0,43.75607517271366,34.0,22431.0,52.0,91.0,20699.0,29056.0,1,350
workloada,alaska,4277.0,23380.874444704234,20560.0,42.39280155642023,34.0,2001.0,52.0,80.0,20560.0,29481.0,1,350
workloada,baseline,4898.0,20416.49652919559,20584.0,47.68980761756704,40.0,609.0,59.0,93.0,20584.0,29401.0,1,350
workloada,baseline,4435.0,22547.91431792559,20660.0,43.96974830590513,33.0,15743.0,59.0,95.0,20660.0,29522.0,1,350
workloada,alaska,3866.0,25866.52871184687,20231.0,39.38337205279027,27.0,22223.0,53.0,86.0,20231.0,29596.0,2,350
workloada,alaska,3956.0,25278.058645096058,20402.0,39.18929516714048,27.0,11767.0,50.0,91.0,20402.0,29417.0,2,350
workloada,baseline,3158.0,31665.611146295123,20680.0,31.87732108317215,24.0,22207.0,42.0,73.0,20680.0,29463.0,2,350
workloada,baseline,3235.0,30911.901081916538,20597.0,33.32218284216148,26.0,21951.0,46.0,71.0,20597.0,29520.0,2,350
workloada,alaska,3354.0,29815.146094215863,20715.0,33.84697079411055,27.0,14583.0,47.0,79.0,20715.0,29708.0,4,350
workloada,alaska,4574.0,21862.702229995626,20501.0,46.22642797912297,27.0,22687.0,52.0,77.0,20501.0,29438.0,4,350
workloada,baseline,4477.0,22336.38597274961,20460.0,43.252737047898336,26.0,654.0,52.0,88.0,20460.0,29577.0,4,350
workloada,baseline,4328.0,23105.36044362292,20706.0,42.18115522070897,34.0,554.0,55.0,86.0,20706.0,30045.0,4,350
workloada,alaska,4316.0,23169.601482854494,20424.0,43.583725029377206,35.0,22463.0,54.0,86.0,20424.0,29508.0,8,350
workloada,alaska,3998.0,25012.506253126565,20522.0,40.48986453562031,27.0,22479.0,51.0,80.0,20522.0,29511.0,8,350
workloada,baseline,4214.0,23730.422401518746,20527.0,41.66663418911677,32.0,14527.0,57.0,83.0,20527.0,29337.0,8,350
workloada,baseline,4838.0,20669.698222405954,20487.0,47.34168008981305,38.0,492.0,59.0,86.0,20487.0,29511.0,8,350
workloada,alaska,4392.0,22768.670309653917,20578.0,43.386480707551755,34.0,1894.0,52.0,83.0,20578.0,29357.0,16,350
workloada,alaska,4171.0,23975.065931431312,20562.0,42.35473202995818,33.0,22623.0,56.0,87.0,20562.0,29385.0,16,350
workloada,baseline,4307.0,23218.017181332714,20444.0,42.55497945607513,25.0,25551.0,52.0,82.0,20444.0,29730.0,16,350
workloada,baseline,4182.0,23912.003825920612,20439.0,40.95029111013259,34.0,486.0,49.0,92.0,20439.0,29804.0,16,350
workloada,alaska,3546.0,28200.78962210942,20534.0,35.6587123794682,27.0,2477.0,52.0,93.0,20534.0,29827.0,32,350
workloada,alaska,4219.0,23702.29912301493,20408.0,42.99549196393571,33.0,34303.0,49.0,89.0,20408.0,29483.0,32,350
workloada,baseline,3928.0,25458.248472505093,20420.0,38.093290891283054,32.0,484.0,50.0,75.0,20420.0,29461.0,32,350
