workload,name,RunTime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=ERROR,threads,interval
workloada,alaska,3332.0,30012.004801920768,20601.0,33.94781806708412,27.0,14511.0,44.0,78.0,20601.0,29349.0,8,750
workloada,baseline,4329.0,23100.0231000231,20518.0,42.53899015498587,32.0,642.0,54.0,93.0,20518.0,29708.0,8,750
workloada,alaska,3396.0,29446.40753828033,20520.0,36.160575048732944,27.0,34495.0,52.0,82.0,20520.0,29301.0,16,750
workloada,baseline,3323.0,30093.289196509177,20415.0,32.92662258143522,24.0,7203.0,48.0,76.0,20415.0,29702.0,16,750
workloada,alaska,4150.0,24096.385542168675,20488.0,42.32882663022257,33.0,19343.0,50.0,91.0,20488.0,29393.0,32,750
workloada,baseline,4048.0,24703.557312252964,20697.0,40.73242498912886,31.0,23119.0,52.0,85.0,20697.0,29342.0,32,750
workloada,alaska,4348.0,22999.08003679853,20617.0,43.75093369549401,26.0,14607.0,56.0,93.0,20617.0,29343.0,1,850
workloada,baseline,3204.0,31210.98626716604,20369.0,31.324660022583338,24.0,503.0,43.0,68.0,20369.0,29576.0,1,850
workloada,alaska,3766.0,26553.37227827934,20358.0,37.47843599567737,26.0,11703.0,56.0,77.0,20358.0,29526.0,2,850
workloada,baseline,4280.0,23364.48598130841,20444.0,42.701379377812565,31.0,19167.0,53.0,85.0,20444.0,29385.0,2,850
workloada,alaska,4309.0,23207.240659085634,20731.0,42.685543389127396,29.0,6343.0,51.0,81.0,20731.0,29371.0,4,850
workloada,baseline,4289.0,23315.458148752623,20617.0,41.83639714798467,30.0,410.0,53.0,85.0,20617.0,29263.0,4,850
workloada,alaska,3485.0,28694.404591104736,20389.0,35.87071460101035,27.0,14463.0,53.0,90.0,20389.0,29586.0,8,850
workloada,baseline,4564.0,21910.604732690623,20647.0,44.548554269385384,33.0,627.0,53.0,84.0,20647.0,29519.0,8,850
workloada,alaska,3415.0,29282.576866764277,20702.0,34.00251183460535,27.0,1782.0,50.0,80.0,20702.0,29398.0,16,850
workloada,baseline,4130.0,24213.075060532687,20479.0,41.36036915865032,32.0,14799.0,50.0,84.0,20479.0,29573.0,16,850
workloada,alaska,4593.0,21772.26213803614,20644.0,46.4301007556675,34.0,23151.0,61.0,89.0,20644.0,29462.0,32,850
workloada,baseline,4217.0,23713.540431586436,20322.0,42.519387855526034,30.0,18783.0,53.0,90.0,20322.0,29216.0,32,850
workloada,alaska,4085.0,24479.804161566706,20411.0,40.71387977071187,33.0,1623.0,52.0,94.0,20411.0,29780.0,1,950
workloada,baseline,4902.0,20399.836801305588,20577.0,48.57627448121689,31.0,14415.0,58.0,90.0,20577.0,29338.0,1,950
